from,to,year,relationship
agci,365sherpas,,9
agci,uni_muenster,,19
agueera,siemens,,9
agueera,uni_augsburg,,19
ahrens,dazn,2015,7
ahrens,dazn,2016,7
ahrens,depak,2016,6
ahrens,dumont,2013,10
ahrens,dumont,2014,10
ahrens,dumont,2015,10
ahrens,hs_quadriga,2016,3
ahrens,hs_quadriga,2017,3
ahrens,rheinischepost,2012,7
ahrens,rheinischepost,2012,10
ahrens,rheinischepost,2013,10
ahrens,rheinischepost,2014,10
ahrens,rheinischepost,2015,10
ahrens,rheinischepost,2016,10
ahrens,telekom,2016,8
ahrens,telekom,2017,8
ahrens,telekom,2018,8
ahrens,telekom,2019,8
ahrens,telekom,2020,8
ahrens,telekom,2020,9
ahrens,telekom,2021,9
ahrens,telekom,2022,9
ahrens,uni_halle,2012,2
ahrens,uni_halle,2013,2
ahrens,uni_halle,2014,2
ahrens,uni_halle,2015,2
ahrens,wdr,2014,7
ainetter,uni_innsbruck,,19
ainetter,verkehrsministerium,,9
albrink,djv,,11
albrink,fh_mittelstand,,2
albrink,trailblazers,,12
albrink,uni_amsterdam,,4
albrink,uni_hamburg,,3
altpeter,campusradio,2008,7
altpeter,deekeling,2012,7
altpeter,deekeling,2013,7
altpeter,depak,2014,3
altpeter,depak,2015,3
altpeter,deutschlandstip,2013,14
altpeter,dprg,2020,13
altpeter,dprg,2021,13
altpeter,dprg,2022,13
altpeter,express,2010,10
altpeter,fom,2018,3
altpeter,fom,2019,3
altpeter,fom,2020,3
altpeter,ista,2021,9
altpeter,ista,2022,9
altpeter,leinhos,,17
altpeter,uni_duesseldorf,2010,2
altpeter,uni_duesseldorf,2011,2
altpeter,uni_duesseldorf,2012,2
altpeter,uni_duesseldorf,2013,2
altpeter,uni_duesseldorf,2014,2
altpeter,uni_prag,2012,4
altpeter,vodafone,2013,7
altpeter,vodafone,2014,7
altpeter,vodafone,2014,8
altpeter,vodafone,2015,8
altpeter,vodafone,2015,9
altpeter,vodafone,2016,9
altpeter,vodafone,2017,9
altpeter,vodafone,2018,9
altpeter,vodafone,2019,9
altpeter,wdr,2015,8
arweck,porsche,,9
arweck,tu_chemnitz,,5
arweck,uni_passau,,19
assheuer,deutschebotschaft,2013,7
assheuer,hillknowlton,2016,7
assheuer,hillknowlton,2016,9
assheuer,hillknowlton,2017,9
assheuer,hillknowlton,2018,9
assheuer,hillknowlton,2019,9
assheuer,hillknowlton,2020,9
assheuer,hillknowlton,2021,9
assheuer,humboldtuni,2015,4
assheuer,mountainnews,2013,7
assheuer,sciencespo_paris,2015,4
assheuer,sciencespo_paris,2016,4
assheuer,uni_bath,2014,3
assheuer,uni_bath,2015,3
assheuer,uni_bath,2016,3
assheuer,uni_mannheim,2011,7
assheuer,uni_mannheim,2012,7
assheuer,uni_mannheim,2010,2
assheuer,uni_mannheim,2011,2
assheuer,uni_mannheim,2012,2
assheuer,uni_mannheim,2013,2
assheuer,uni_mannheim,2014,2
assheuer,uni_oslo,2012,4
assheuer,viessmann,2021,9
assheuer,viessmann,2022,9
auksutat,bdkom,2021,13
auksutat,bdkom,2022,13
auksutat,beauty_hills,2017,7
auksutat,beauty_hills,2018,7
auksutat,beauty_hills,2019,7
auksutat,commerzbank,2016,7
auksutat,commerzbank,2017,7
auksutat,deka,2011,7
auksutat,dprg,2018,11
auksutat,dprg,2019,11
auksutat,dprg,2020,11
auksutat,dprg,2021,11
auksutat,dprg,2022,11
auksutat,hessischerrundfunk,2017,10
auksutat,hessischerrundfunk,2018,10
auksutat,hessischerrundfunk,2019,10
auksutat,hessischerrundfunk,2020,10
auksutat,hessischerrundfunk,2021,10
auksutat,hessischerrundfunk,2022,10
auksutat,lprs,2018,13
auksutat,lprs,2019,13
auksutat,microsoft,2019,7
auksutat,microsoft,2020,7
auksutat,microsoft,2020,8
auksutat,microsoft,2021,8
auksutat,microsoft,2021,9
auksutat,microsoft,2022,9
auksutat,tanzschule,2010,9
auksutat,tanzschule,2011,9
auksutat,tanzschule,2012,9
auksutat,tanzschule,2013,9
auksutat,tanzschule,2014,9
auksutat,tanzschule,2015,9
auksutat,tanzschule,2016,9
auksutat,uni_hongkong,2018,4
auksutat,uni_leipzig,2017,7
auksutat,uni_leipzig,2017,3
auksutat,uni_leipzig,2018,3
auksutat,uni_leipzig,2019,3
auksutat,uni_leipzig,2020,3
auksutat,uni_mannheim,2014,7
auksutat,uni_mannheim,2015,7
auksutat,uni_mannheim,2013,2
auksutat,uni_mannheim,2014,2
auksutat,uni_mannheim,2015,2
auksutat,uni_mannheim,2016,2
auksutat,uni_mannheim,2017,2
auksutat,uni_pace,2015,4
bachmann,academic_concept,2012,10
bachmann,academic_concept,2013,10
bachmann,academic_concept,2014,10
bachmann,academic_concept,2015,10
bachmann,frankfurterrundschau,2016,7
bachmann,hessenchemie,2015,8
bachmann,hessenchemie,2016,8
bachmann,hessenchemie,2017,8
bachmann,hs_rheinmain,2011,2
bachmann,hs_rheinmain,2012,2
bachmann,hs_rheinmain,2013,2
bachmann,hs_rheinmain,2014,2
bachmann,hs_rheinmain,2015,2
bachmann,merck,2017,9
bachmann,merck,2018,9
bachmann,merck,2019,9
bachmann,merck,2020,9
bachmann,merck,2021,9
bachmann,merck,2022,9
bachmann,seychelles,2013,7
bachmann,seychelles,2014,7
bachmann,seychelles,2015,7
balkmann,hs_osnabrueck,,3
balkmann,ism,,2
balkmann,ressourcenmangel,,9
balkmann,unitec,,4
barzel,apple,2010,7
barzel,daad,2014,14
barzel,euparlament,2012,9
barzel,foundamental,2020,9
barzel,foundamental,2021,9
barzel,fsfm,2009,2
barzel,fsfm,2010,2
barzel,fsfm,2011,2
barzel,fsfm,2012,2
barzel,fsfm,2013,2
barzel,goodthoughts,2021,9
barzel,goodthoughts,2022,9
barzel,lse_london,2014,3
barzel,lse_london,2015,3
barzel,lupus_alpha,2011,7
barzel,promos,2011,14
barzel,thyssenkrupp,2013,9
barzel,thyssenkrupp,2014,9
barzel,thyssenkrupp,2015,9
barzel,thyssenkrupp,2016,9
barzel,thyssenkrupp,2017,9
barzel,thyssenkrupp,2018,9
barzel,thyssenkrupp,2019,9
barzel,thyssenkrupp,2020,9
barzel,uni_boston,2011,4
barzel,uni_boston,2012,4
batonnier,dfjw,,9
baumann,computacenter,,9
baumann,uni_mainz,,19
becker,hs_darmstadt,,3
becker,lufthansa,,9
behrendt,uni_koeln,,20
behrendt,wirtschaftsinstitut,,9
benndorf,ressourcenmangel,,9
bertermann,auto1,,12
bertermann,uni_mannheim,,
bessenbach,3m,2016,7
bessenbach,blankenagel,,17
bessenbach,jamous,,17
bessenbach,klarna,2021,9
bessenbach,klarna,2022,9
bessenbach,solaris,2017,7
bessenbach,solaris,2018,7
bessenbach,solaris,2018,9
bessenbach,solaris,2019,9
bessenbach,solaris,2020,9
bessenbach,solaris,2021,9
bessenbach,ultraair,2011,7
bessenbach,uni_warwick,2015,2
bessenbach,uni_warwick,2016,2
bessenbach,uni_warwick,2017,2
bessenbach,uni_warwick,2018,2
bessenbach,vodafone,2013,7
bieller,computacenter,,9
bieller,uni_hohenheim,,3
bieller,uni_mannheim,,2
bischoff,carta,,9
bischoff,uni_freiburg,,19
bisswanger,aiesec,2012,11
bisswanger,aiesec,2013,11
bisswanger,emanate,2013,7
bisswanger,finsbury,2016,7
bisswanger,finsbury,2018,9
bisswanger,finsbury,2019,9
bisswanger,finsbury,2020,9
bisswanger,hmkw,2021,15
bisswanger,lprs,2015,11
bisswanger,lprs,2016,11
bisswanger,lprs,2017,11
bisswanger,porsche,2015,7
bisswanger,proctergamble,2020,9
bisswanger,proctergamble,2021,9
bisswanger,proctergamble,2022,9
bisswanger,promos,2016,14
bisswanger,quint,2007,7
bisswanger,quint,2008,7
bisswanger,redbull,2013,7
bisswanger,redbull,2014,7
bisswanger,uni_fudan,2014,4
bisswanger,uni_leeds,2012,4
bisswanger,uni_leeds,2013,4
bisswanger,uni_leipzig,2016,7
bisswanger,uni_leipzig,2017,7
bisswanger,uni_leipzig,2015,3
bisswanger,uni_leipzig,2016,3
bisswanger,uni_leipzig,2017,3
bisswanger,uni_ohio,2016,4
bisswanger,uni_peking,2014,4
bisswanger,uni_salzburg,2011,2
bisswanger,uni_salzburg,2012,2
bisswanger,uni_salzburg,2013,2
bisswanger,uni_salzburg,2014,2
bisswanger,uni_salzburg,2015,2
bisswanger,uni_salzburg,2015,14
blankenagel,solaris,,9
blankenagel,uni_hohenheim,,3
blankenagel,uni_mainz,,2
blokhina,astellas,2014,7
blokhina,astellas,2015,7
blokhina,astellas,2016,7
blokhina,msd,2020,9
blokhina,msd,2021,9
blokhina,msd,2022,9
blokhina,serviceplan,2018,9
blokhina,serviceplan,2019,9
blokhina,serviceplan,2020,9
blokhina,uni_muenchen,2011,2
blokhina,uni_muenchen,2012,2
blokhina,uni_muenchen,2013,2
blokhina,uni_muenchen,2014,2
blokhina,uni_muenchen,2015,2
blokhina,we_communications,2016,8
blokhina,we_communications,2017,8
blokhina,we_communications,2017,9
blokhina,we_communications,2018,9
bode,porsche,,9
bode,uni_bonn,,21
boelts,bsgav,2012,1
boelts,bsgav,2013,1
boelts,bsgav,2014,1
boelts,bsgav,2015,1
boelts,cleve,,17
boelts,cosmonauts,2020,9
boelts,cosmonauts,2021,9
boelts,cosmonauts,2022,9
boelts,follesa,,17
boelts,fom,2015,2
boelts,fom,2016,2
boelts,fom,2017,2
boelts,fom,2018,2
boelts,fom,2019,2
boelts,hs_quadriga,2020,3
boelts,hs_quadriga,2021,3
boelts,licracy,2018,10
boelts,licracy,2019,10
boelts,licracy,2020,10
boelts,mueller_max,,17
boelts,schnoeller,,17
boelts,tlgg,2015,9
boelts,tlgg,2016,9
boelts,tlgg,2017,9
boelts,tlgg,2018,9
boelts,tlgg,2019,9
bohn,allianz,2015,7
bohn,allianz,2016,7
bohn,bosch,2014,7
bohn,dege_komm,2010,7
bohn,dprg,,11
bohn,enbw,2020,9
bohn,enbw,2021,9
bohn,enbw,2022,9
bohn,grunerjahr,2012,7
bohn,grunerjahr,2013,7
bohn,gwpr,,11
bohn,mahle,2016,7
bohn,mahle,2017,7
bohn,rosumek,,17
bohn,syddansk,2020,5
bohn,tu_ilmenau,2011,7
bohn,tu_ilmenau,2012,7
bohn,tu_ilmenau,2010,2
bohn,tu_ilmenau,2011,2
bohn,tu_ilmenau,2012,2
bohn,tu_ilmenau,2013,2
bohn,tu_ilmenau,2014,2
bohn,uni_chile,2016,4
bohn,uni_hohenheim,2020,15
bohn,uni_hohenheim,2021,15
bohn,uni_hohenheim,2014,3
bohn,uni_hohenheim,2015,3
bohn,uni_hohenheim,2016,3
bohn,uni_hohenheim,2017,3
bohn,voith,2017,9
bohn,voith,2018,9
bohn,voith,2019,9
bohn,voith,2020,9
bohne,uni_cambridge,,5
bohnerth,exxonmobil,2008,8
